run_id,kind,rep,rate_hz,batch,duration_s,sensor_rate_hz,mqtt_host,mqtt_port,ws_port,db_path,gw_log,sim_log,start_epoch,end_epoch,exit_code
short_rep1_r20_b1,short,1,20,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r20_b1.db","experiment_repeated/logs/gw_short_rep1_r20_b1.log","experiment_repeated/logs/sim_short_rep1_r20_b1.log",1782736266,1782736394,0
short_rep1_r50_b1,short,1,50,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r50_b1.db","experiment_repeated/logs/gw_short_rep1_r50_b1.log","experiment_repeated/logs/sim_short_rep1_r50_b1.log",1782736394,1782736524,0
short_rep1_r100_b1,short,1,100,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r100_b1.db","experiment_repeated/logs/gw_short_rep1_r100_b1.log","experiment_repeated/logs/sim_short_rep1_r100_b1.log",1782736524,1782736654,0
short_rep1_r200_b1,short,1,200,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r200_b1.db","experiment_repeated/logs/gw_short_rep1_r200_b1.log","experiment_repeated/logs/sim_short_rep1_r200_b1.log",1782736654,1782736785,0
short_rep1_r20_b50,short,1,20,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r20_b50.db","experiment_repeated/logs/gw_short_rep1_r20_b50.log","experiment_repeated/logs/sim_short_rep1_r20_b50.log",1782736785,1782736915,0
short_rep1_r50_b50,short,1,50,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r50_b50.db","experiment_repeated/logs/gw_short_rep1_r50_b50.log","experiment_repeated/logs/sim_short_rep1_r50_b50.log",1782736915,1782737045,0
short_rep1_r100_b50,short,1,100,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r100_b50.db","experiment_repeated/logs/gw_short_rep1_r100_b50.log","experiment_repeated/logs/sim_short_rep1_r100_b50.log",1782737045,1782737176,0
short_rep1_r200_b50,short,1,200,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep1_r200_b50.db","experiment_repeated/logs/gw_short_rep1_r200_b50.log","experiment_repeated/logs/sim_short_rep1_r200_b50.log",1782737176,1782737306,0
short_rep2_r20_b1,short,2,20,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r20_b1.db","experiment_repeated/logs/gw_short_rep2_r20_b1.log","experiment_repeated/logs/sim_short_rep2_r20_b1.log",1782737306,1782737438,0
short_rep2_r50_b1,short,2,50,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r50_b1.db","experiment_repeated/logs/gw_short_rep2_r50_b1.log","experiment_repeated/logs/sim_short_rep2_r50_b1.log",1782737438,1782737568,0
short_rep2_r100_b1,short,2,100,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r100_b1.db","experiment_repeated/logs/gw_short_rep2_r100_b1.log","experiment_repeated/logs/sim_short_rep2_r100_b1.log",1782737568,1782737697,0
short_rep2_r200_b1,short,2,200,1,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r200_b1.db","experiment_repeated/logs/gw_short_rep2_r200_b1.log","experiment_repeated/logs/sim_short_rep2_r200_b1.log",1782737697,1782737828,0
short_rep2_r20_b50,short,2,20,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r20_b50.db","experiment_repeated/logs/gw_short_rep2_r20_b50.log","experiment_repeated/logs/sim_short_rep2_r20_b50.log",1782737828,1782737959,0
short_rep2_r50_b50,short,2,50,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r50_b50.db","experiment_repeated/logs/gw_short_rep2_r50_b50.log","experiment_repeated/logs/sim_short_rep2_r50_b50.log",1782737959,1782738090,0
short_rep2_r100_b50,short,2,100,50,60,50,127.0.0.1,18883,18080,"experiment_repeated/db/short_rep2_r100_b50.db","experiment_repeated/logs/gw_short_rep2_r100_b50.log","experiment_repeated/logs/sim_short_rep2_r100_b50.log",1782738090,1782738221,0
